"stock_size","value","c2","model","npv0","sigma_g"
10.2871428571429,170.596841978704,0,"L2",170.596841978704,0.05
10.2871428571429,152.036178378728,0.173790226859785,"L2",170.596841978704,0.05
10.2871428571429,142.280086761641,0.377783496671545,"L2",170.596841978704,0.05
10.2871428571429,135.87708020179,0.617228803121761,"L2",170.596841978704,0.05
10.2871428571429,132.070838850664,0.89828736370047,"L2",170.596841978704,0.05
10.2871428571429,129.732608476997,1.22819115528304,"L2",170.596841978704,0.05
10.2871428571429,127.963658294514,1.61542900164664,"L2",170.596841978704,0.05
10.2871428571429,126.554036980101,2.06996500117847,"L2",170.596841978704,0.05
10.2871428571429,125.347273797232,2.60349491518488,"L2",170.596841978704,0.05
10.2871428571429,124.295120526693,3.22974711398294,"L2",170.596841978704,0.05
10.2871428571429,123.31968582322,3.96483582448156,"L2",170.596841978704,0.05
10.2871428571429,122.420204372201,4.8276757687398,"L2",170.596841978704,0.05
10.2871428571429,121.604755318313,5.84046886265436,"L2",170.596841978704,0.05
10.2871428571429,120.81628828558,7.02927549812235,"L2",170.596841978704,0.05
10.2871428571429,120.00493959359,8.42468510846075,"L2",170.596841978704,0.05
10.2871428571429,119.164916041622,10.0626032715422,"L2",170.596841978704,0.05
10.2871428571429,118.298637226837,11.9851756037633,"L2",170.596841978704,0.05
10.2871428571429,117.455775915052,14.2418722177555,"L2",170.596841978704,0.05
10.2871428571429,116.721308439348,16.890760648247,"L2",170.596841978704,0.05
10.2871428571429,115.976483959186,20,"L2",170.596841978704,0.05
10.2871428571429,170.596841978704,0,"L1",170.596841978704,0.05
10.2871428571429,166.053191749313,0.173790226859785,"L1",170.596841978704,0.05
10.2871428571429,160.725859902531,0.377783496671545,"L1",170.596841978704,0.05
10.2871428571429,154.494979155002,0.617228803121761,"L1",170.596841978704,0.05
10.2871428571429,149.159316243372,0.89828736370047,"L1",170.596841978704,0.05
10.2871428571429,144.883170305509,1.22819115528304,"L1",170.596841978704,0.05
10.2871428571429,140.600678036164,1.61542900164664,"L1",170.596841978704,0.05
10.2871428571429,136.176647701147,2.06996500117847,"L1",170.596841978704,0.05
10.2871428571429,131.544035006635,2.60349491518488,"L1",170.596841978704,0.05
10.2871428571429,126.577043170728,3.22974711398294,"L1",170.596841978704,0.05
10.2871428571429,121.234818548527,3.96483582448156,"L1",170.596841978704,0.05
10.2871428571429,116.631043578986,4.8276757687398,"L1",170.596841978704,0.05
10.2871428571429,115.580672096801,5.84046886265436,"L1",170.596841978704,0.05
10.2871428571429,114.640505972297,7.02927549812235,"L1",170.596841978704,0.05
10.2871428571429,113.664566070346,8.42468510846075,"L1",170.596841978704,0.05
10.2871428571429,112.679060167661,10.0626032715422,"L1",170.596841978704,0.05
10.2871428571429,112.030004757089,11.9851756037633,"L1",170.596841978704,0.05
10.2871428571429,112.02989914821,14.2418722177555,"L1",170.596841978704,0.05
10.2871428571429,112.029839684317,16.890760648247,"L1",170.596841978704,0.05
10.2871428571429,112.029797788371,20,"L1",170.596841978704,0.05
10.2871428571429,170.596841978704,0,"fixed",170.596841978704,0.05
