"","0.10","0.20","0.30"
"L2",0.404040404040404,0.808080808080808,2.02020202020202
"L1",0.808080808080808,1.61616161616162,2.82828282828283
"fixed",3.63636363636364,8.08080808080808,12.9292929292929
