"","penalty_fn","replicate","Assumption","variable","value"
"106","L2","rep_6","Adjustment penalty","profits",173.292098660827
"107","L2","rep_7","Adjustment penalty","profits",273.819496214191
"108","L2","rep_8","Adjustment penalty","profits",117.400244197117
"109","L2","rep_9","Adjustment penalty","profits",122.503282259426
"110","L2","rep_10","Adjustment penalty","profits",131.284167648184
"111","L2","rep_11","Adjustment penalty","profits",104.828157559811
"112","L2","rep_12","Adjustment penalty","profits",98.5552335103487
"113","L2","rep_13","Adjustment penalty","profits",190.267263763314
"114","L2","rep_14","Adjustment penalty","profits",289.710419568648
"115","L2","rep_15","Adjustment penalty","profits",175.96855995844
"116","L2","rep_16","Adjustment penalty","profits",191.371757761766
"117","L2","rep_17","Adjustment penalty","profits",230.21368248038
"118","L2","rep_18","Adjustment penalty","profits",165.504866864495
"119","L2","rep_19","Adjustment penalty","profits",150.075408600437
"120","L2","rep_20","Adjustment penalty","profits",130.003503358263
"121","L2","rep_21","Adjustment penalty","profits",208.845874158596
"122","L2","rep_22","Adjustment penalty","profits",203.579544117522
"123","L2","rep_23","Adjustment penalty","profits",197.985292904422
"124","L2","rep_24","Adjustment penalty","profits",126.123777305404
"125","L2","rep_25","Adjustment penalty","profits",113.027143461639
"126","L2","rep_26","Adjustment penalty","profits",189.681276042784
"127","L2","rep_27","Adjustment penalty","profits",177.963893160998
"128","L2","rep_28","Adjustment penalty","profits",144.405280392335
"129","L2","rep_29","Adjustment penalty","profits",159.729962199993
"130","L2","rep_30","Adjustment penalty","profits",117.908356394659
"131","L2","rep_31","Adjustment penalty","profits",152.494739377726
"132","L2","rep_32","Adjustment penalty","profits",177.089568121827
"133","L2","rep_33","Adjustment penalty","profits",166.578410982999
"134","L2","rep_34","Adjustment penalty","profits",174.967231065918
"135","L2","rep_35","Adjustment penalty","profits",184.077829976383
"136","L2","rep_36","Adjustment penalty","profits",179.983540596303
"137","L2","rep_37","Adjustment penalty","profits",157.345224445597
"138","L2","rep_38","Adjustment penalty","profits",131.994888851858
"139","L2","rep_39","Adjustment penalty","profits",125.989307163541
"140","L2","rep_40","Adjustment penalty","profits",142.899401364366
"141","L2","rep_41","Adjustment penalty","profits",206.491848636349
"142","L2","rep_42","Adjustment penalty","profits",215.993384038823
"143","L2","rep_43","Adjustment penalty","profits",164.641873457695
"144","L2","rep_44","Adjustment penalty","profits",108.449574924332
"145","L2","rep_45","Adjustment penalty","profits",156.781711371058
"146","L2","rep_46","Adjustment penalty","profits",184.786711569247
"147","L2","rep_47","Adjustment penalty","profits",154.005127115881
"148","L2","rep_48","Adjustment penalty","profits",191.311639433361
"149","L2","rep_49","Adjustment penalty","profits",131.391386627321
"150","L2","rep_50","Adjustment penalty","profits",116.320430693693
"151","L2","rep_51","Adjustment penalty","profits",167.644708667156
"152","L2","rep_52","Adjustment penalty","profits",153.825467641937
"153","L2","rep_53","Adjustment penalty","profits",141.914292604921
"154","L2","rep_54","Adjustment penalty","profits",213.097807177782
"155","L2","rep_55","Adjustment penalty","profits",138.040759784732
"156","L2","rep_56","Adjustment penalty","profits",146.194406782018
"157","L2","rep_57","Adjustment penalty","profits",181.457707499798
"158","L2","rep_58","Adjustment penalty","profits",153.206852622571
"159","L2","rep_59","Adjustment penalty","profits",173.568761378291
"160","L2","rep_60","Adjustment penalty","profits",156.058712205057
"161","L2","rep_61","Adjustment penalty","profits",124.699859338024
"162","L2","rep_62","Adjustment penalty","profits",164.340432364179
"163","L2","rep_63","Adjustment penalty","profits",130.895456296262
"164","L2","rep_64","Adjustment penalty","profits",117.384838311615
"165","L2","rep_65","Adjustment penalty","profits",138.143144367553
"166","L2","rep_66","Adjustment penalty","profits",146.530647546768
"167","L2","rep_67","Adjustment penalty","profits",131.380472409917
"168","L2","rep_68","Adjustment penalty","profits",164.943185713048
"169","L2","rep_69","Adjustment penalty","profits",112.852394507405
"170","L2","rep_70","Adjustment penalty","profits",148.751241082783
"171","L2","rep_71","Adjustment penalty","profits",119.222533225416
"172","L2","rep_72","Adjustment penalty","profits",182.674617595838
"173","L2","rep_73","Adjustment penalty","profits",231.210953765595
"174","L2","rep_74","Adjustment penalty","profits",119.669962667631
"175","L2","rep_75","Adjustment penalty","profits",186.272214726364
"176","L2","rep_76","Adjustment penalty","profits",118.023454086091
"177","L2","rep_77","Adjustment penalty","profits",197.207215912356
"178","L2","rep_78","Adjustment penalty","profits",122.306483031502
"179","L2","rep_79","Adjustment penalty","profits",120.765487926678
"180","L2","rep_80","Adjustment penalty","profits",143.056225981099
"181","L2","rep_81","Adjustment penalty","profits",131.543393278112
"182","L2","rep_82","Adjustment penalty","profits",118.547924403707
"183","L2","rep_83","Adjustment penalty","profits",177.342675394927
"184","L2","rep_84","Adjustment penalty","profits",141.499746056437
"185","L2","rep_85","Adjustment penalty","profits",74.2715294249171
"186","L2","rep_86","Adjustment penalty","profits",172.592981182568
"187","L2","rep_87","Adjustment penalty","profits",117.550401965056
"188","L2","rep_88","Adjustment penalty","profits",162.152814353453
"189","L2","rep_89","Adjustment penalty","profits",151.292395859068
