"","penalty_fn","replicate","Assumption","variable","value"
"490","L2","rep_90","Reed","profits",251.059099987121
"491","L2","rep_91","Reed","profits",196.143964303186
"492","L2","rep_92","Reed","profits",143.551367072438
"493","L2","rep_93","Reed","profits",270.277513296971
"494","L2","rep_94","Reed","profits",142.097640816582
"495","L2","rep_95","Reed","profits",171.517485028901
"496","L2","rep_96","Reed","profits",202.414564462516
"497","L2","rep_97","Reed","profits",193.919632902664
"498","L2","rep_98","Reed","profits",168.0675620116
"499","L2","rep_99","Reed","profits",116.472525504342
"500","L2","rep_100","Reed","profits",187.169682075685
"501","fixed","rep_1","Reed","profits",210.04745581449
"502","fixed","rep_2","Reed","profits",217.334658697718
"503","fixed","rep_3","Reed","profits",133.849973257102
"504","fixed","rep_4","Reed","profits",249.013399112463
"505","fixed","rep_5","Reed","profits",148.779362960726
"506","fixed","rep_6","Reed","profits",206.987689638192
"507","fixed","rep_7","Reed","profits",255.681948021522
"508","fixed","rep_8","Reed","profits",139.98956197566
"509","fixed","rep_9","Reed","profits",163.456802784985
"510","fixed","rep_10","Reed","profits",159.495668786279
"511","fixed","rep_11","Reed","profits",133.920449341723
"512","fixed","rep_12","Reed","profits",131.610922161362
"513","fixed","rep_13","Reed","profits",220.097520624763
"514","fixed","rep_14","Reed","profits",310.58303643907
"515","fixed","rep_15","Reed","profits",200.996151090676
"516","fixed","rep_16","Reed","profits",226.648031307346
"517","fixed","rep_17","Reed","profits",253.160772984042
"518","fixed","rep_18","Reed","profits",193.894518945118
"519","fixed","rep_19","Reed","profits",188.559309862507
"520","fixed","rep_20","Reed","profits",169.535558190992
"521","fixed","rep_21","Reed","profits",227.109403198546
"522","fixed","rep_22","Reed","profits",238.322466759979
"523","fixed","rep_23","Reed","profits",223.959844909886
"524","fixed","rep_24","Reed","profits",153.760832489862
"525","fixed","rep_25","Reed","profits",146.683804548714
"526","fixed","rep_26","Reed","profits",224.119688429729
"527","fixed","rep_27","Reed","profits",189.798100759725
"528","fixed","rep_28","Reed","profits",180.656346356602
"529","fixed","rep_29","Reed","profits",208.716117985863
"530","fixed","rep_30","Reed","profits",160.278737087252
"531","fixed","rep_31","Reed","profits",189.058434517975
"532","fixed","rep_32","Reed","profits",202.032391634528
"533","fixed","rep_33","Reed","profits",199.493640898062
"534","fixed","rep_34","Reed","profits",190.750864985899
"535","fixed","rep_35","Reed","profits",214.551092495149
"536","fixed","rep_36","Reed","profits",191.596168964131
"537","fixed","rep_37","Reed","profits",158.954224105902
"538","fixed","rep_38","Reed","profits",167.68089144026
"539","fixed","rep_39","Reed","profits",173.2030110072
"540","fixed","rep_40","Reed","profits",161.043069194403
"541","fixed","rep_41","Reed","profits",252.838635122047
"542","fixed","rep_42","Reed","profits",221.194258836178
"543","fixed","rep_43","Reed","profits",179.462031912625
"544","fixed","rep_44","Reed","profits",113.5156963226
"545","fixed","rep_45","Reed","profits",188.606003836876
"546","fixed","rep_46","Reed","profits",227.161089479699
"547","fixed","rep_47","Reed","profits",162.498053395656
"548","fixed","rep_48","Reed","profits",224.104241195748
"549","fixed","rep_49","Reed","profits",152.180490179614
"550","fixed","rep_50","Reed","profits",146.355044817387
"551","fixed","rep_51","Reed","profits",197.440487025179
"552","fixed","rep_52","Reed","profits",197.585348430784
"553","fixed","rep_53","Reed","profits",173.295224473027
"554","fixed","rep_54","Reed","profits",216.382041885624
"555","fixed","rep_55","Reed","profits",179.516757001025
"556","fixed","rep_56","Reed","profits",185.849301643872
"557","fixed","rep_57","Reed","profits",193.04339928841
"558","fixed","rep_58","Reed","profits",187.484142752038
"559","fixed","rep_59","Reed","profits",196.035028930497
"560","fixed","rep_60","Reed","profits",182.804189425133
"561","fixed","rep_61","Reed","profits",176.776417590576
"562","fixed","rep_62","Reed","profits",196.971441226992
"563","fixed","rep_63","Reed","profits",155.874827747564
"564","fixed","rep_64","Reed","profits",155.375556275475
"565","fixed","rep_65","Reed","profits",171.44640544639
"566","fixed","rep_66","Reed","profits",154.067292128217
"567","fixed","rep_67","Reed","profits",150.800914529414
"568","fixed","rep_68","Reed","profits",185.300707069177
"569","fixed","rep_69","Reed","profits",128.200629325174
"570","fixed","rep_70","Reed","profits",183.763227848705
"571","fixed","rep_71","Reed","profits",148.187294460833
"572","fixed","rep_72","Reed","profits",195.417223868329
"573","fixed","rep_73","Reed","profits",232.575165746178
"574","fixed","rep_74","Reed","profits",143.363020859481
"575","fixed","rep_75","Reed","profits",227.622051309078
"576","fixed","rep_76","Reed","profits",147.173406345451
"577","fixed","rep_77","Reed","profits",233.674152776869
"578","fixed","rep_78","Reed","profits",141.343009773509
"579","fixed","rep_79","Reed","profits",155.733784640534
"580","fixed","rep_80","Reed","profits",159.938098987338
"581","fixed","rep_81","Reed","profits",150.172152675284
"582","fixed","rep_82","Reed","profits",170.93526994403
"583","fixed","rep_83","Reed","profits",211.429482184367
"584","fixed","rep_84","Reed","profits",163.417646070865
"585","fixed","rep_85","Reed","profits",79.7343497961134
"586","fixed","rep_86","Reed","profits",200.29940290138
"587","fixed","rep_87","Reed","profits",148.667119725222
"588","fixed","rep_88","Reed","profits",203.707694769337
"589","fixed","rep_89","Reed","profits",183.899884837151
"590","fixed","rep_90","Reed","profits",251.059099987121
"591","fixed","rep_91","Reed","profits",196.143964303186
"592","fixed","rep_92","Reed","profits",143.551367072438
"593","fixed","rep_93","Reed","profits",270.277513296971
"594","fixed","rep_94","Reed","profits",142.097640816582
"595","fixed","rep_95","Reed","profits",171.517485028901
"596","fixed","rep_96","Reed","profits",202.414564462516
"597","fixed","rep_97","Reed","profits",193.919632902664
"598","fixed","rep_98","Reed","profits",168.0675620116
"599","fixed","rep_99","Reed","profits",116.472525504342
"600","fixed","rep_100","Reed","profits",187.169682075685
"601","L1","rep_1","Adjustment penalty","costs",70.8245722531437
"602","L1","rep_2","Adjustment penalty","costs",117.601731601732
"603","L1","rep_3","Adjustment penalty","costs",58.9655741084313
"604","L1","rep_4","Adjustment penalty","costs",78.7305710162853
"605","L1","rep_5","Adjustment penalty","costs",85.9777365491651
"606","L1","rep_6","Adjustment penalty","costs",96.8484848484849
"607","L1","rep_7","Adjustment penalty","costs",121.554730983302
"608","L1","rep_8","Adjustment penalty","costs",56.659657802515
"609","L1","rep_9","Adjustment penalty","costs",98.1661513090085
"610","L1","rep_10","Adjustment penalty","costs",69.836322407751
"611","L1","rep_11","Adjustment penalty","costs",62.9185734900021
"612","L1","rep_12","Adjustment penalty","costs",52.0478251906823
"613","L1","rep_13","Adjustment penalty","costs",71.1539888682746
"614","L1","rep_14","Adjustment penalty","costs",124.19006390435
"615","L1","rep_15","Adjustment penalty","costs",74.4481550195836
"616","L1","rep_16","Adjustment penalty","costs",115.295815295815
"617","L1","rep_17","Adjustment penalty","costs",54.3537414965986
"618","L1","rep_18","Adjustment penalty","costs",87.6248196248196
"619","L1","rep_19","Adjustment penalty","costs",56.9890744176459
"620","L1","rep_20","Adjustment penalty","costs",86.6365697794269
"621","L1","rep_21","Adjustment penalty","costs",82.6835703978561
"622","L1","rep_22","Adjustment penalty","costs",82.6835703978561
"623","L1","rep_23","Adjustment penalty","costs",111.672232529375
"624","L1","rep_24","Adjustment penalty","costs",68.8480725623583
"625","L1","rep_25","Adjustment penalty","costs",62.2597402597403
"626","L1","rep_26","Adjustment penalty","costs",77.4129045557617
"627","L1","rep_27","Adjustment penalty","costs",99.1544011544012
"628","L1","rep_28","Adjustment penalty","costs",50.7301587301587
"629","L1","rep_29","Adjustment penalty","costs",84.6600700886415
"630","L1","rep_30","Adjustment penalty","costs",74.1187384044527
"631","L1","rep_31","Adjustment penalty","costs",98.4955679241394
"632","L1","rep_32","Adjustment penalty","costs",45.1300762729334
"633","L1","rep_33","Adjustment penalty","costs",72.8010719439291
"634","L1","rep_34","Adjustment penalty","costs",78.7305710162853
"635","L1","rep_35","Adjustment penalty","costs",98.4955679241394
"636","L1","rep_36","Adjustment penalty","costs",72.4716553287982
"637","L1","rep_37","Adjustment penalty","costs",75.1069882498454
"638","L1","rep_38","Adjustment penalty","costs",81.0364873222016
"639","L1","rep_39","Adjustment penalty","costs",58.3067408781695
"640","L1","rep_40","Adjustment penalty","costs",53.3654916512059
"641","L1","rep_41","Adjustment penalty","costs",99.1544011544012
"642","L1","rep_42","Adjustment penalty","costs",63.5774067202639
"643","L1","rep_43","Adjustment penalty","costs",47.1065759637188
"644","L1","rep_44","Adjustment penalty","costs",37.5534941249227
"645","L1","rep_45","Adjustment penalty","costs",79.0599876314162
"646","L1","rep_46","Adjustment penalty","costs",59.6244073386931
"647","L1","rep_47","Adjustment penalty","costs",52.3772418058132
"648","L1","rep_48","Adjustment penalty","costs",105.083900226757
"649","L1","rep_49","Adjustment penalty","costs",76.424654710369
"650","L1","rep_50","Adjustment penalty","costs",74.1187384044527
"651","L1","rep_51","Adjustment penalty","costs",89.9307359307359
"652","L1","rep_52","Adjustment penalty","costs",66.8715728715729
"653","L1","rep_53","Adjustment penalty","costs",61.6009070294785
"654","L1","rep_54","Adjustment penalty","costs",118.260564831993
"655","L1","rep_55","Adjustment penalty","costs",72.8010719439291
"656","L1","rep_56","Adjustment penalty","costs",77.4129045557617
"657","L1","rep_57","Adjustment penalty","costs",81.0364873222016
"658","L1","rep_58","Adjustment penalty","costs",78.4011544011544
"659","L1","rep_59","Adjustment penalty","costs",79.0599876314162
"660","L1","rep_60","Adjustment penalty","costs",43.8124098124098
"661","L1","rep_61","Adjustment penalty","costs",73.7893217893218
"662","L1","rep_62","Adjustment penalty","costs",91.2484023912595
"663","L1","rep_63","Adjustment penalty","costs",53.6949082663368
"664","L1","rep_64","Adjustment penalty","costs",77.0834879406308
"665","L1","rep_65","Adjustment penalty","costs",77.7423211708926
"666","L1","rep_66","Adjustment penalty","costs",42.4947433518862
"667","L1","rep_67","Adjustment penalty","costs",74.1187384044527
"668","L1","rep_68","Adjustment penalty","costs",84.0012368583797
"669","L1","rep_69","Adjustment penalty","costs",56.6596578025149
"670","L1","rep_70","Adjustment penalty","costs",56.330241187384
"671","L1","rep_71","Adjustment penalty","costs",62.2597402597403
"672","L1","rep_72","Adjustment penalty","costs",83.3424036281179
"673","L1","rep_73","Adjustment penalty","costs",84.3306534735106
"674","L1","rep_74","Adjustment penalty","costs",73.4599051741909
"675","L1","rep_75","Adjustment penalty","costs",108.707482993197
"676","L1","rep_76","Adjustment penalty","costs",59.2949907235622
"677","L1","rep_77","Adjustment penalty","costs",71.4834054834055
"678","L1","rep_78","Adjustment penalty","costs",79.3894042465471
"679","L1","rep_79","Adjustment penalty","costs",78.7305710162853
"680","L1","rep_80","Adjustment penalty","costs",45.4594928880643
"681","L1","rep_81","Adjustment penalty","costs",84.9894867037724
"682","L1","rep_82","Adjustment penalty","costs",73.4599051741909
"683","L1","rep_83","Adjustment penalty","costs",76.424654710369
"684","L1","rep_84","Adjustment penalty","costs",63.5774067202639
"685","L1","rep_85","Adjustment penalty","costs",35.2475778190064
"686","L1","rep_86","Adjustment penalty","costs",58.3067408781695
"687","L1","rep_87","Adjustment penalty","costs",50.0713254998969
"688","L1","rep_88","Adjustment penalty","costs",87.2954030096887
"689","L1","rep_89","Adjustment penalty","costs",87.2954030096887
"690","L1","rep_90","Adjustment penalty","costs",76.0952380952381
"691","L1","rep_91","Adjustment penalty","costs",92.2366522366522
"692","L1","rep_92","Adjustment penalty","costs",60.9420737992167
"693","L1","rep_93","Adjustment penalty","costs",126.166563595135
"694","L1","rep_94","Adjustment penalty","costs",73.4599051741909
"695","L1","rep_95","Adjustment penalty","costs",71.1539888682746
"696","L1","rep_96","Adjustment penalty","costs",103.766233766234
"697","L1","rep_97","Adjustment penalty","costs",73.4599051741909
"698","L1","rep_98","Adjustment penalty","costs",58.9655741084313
"699","L1","rep_99","Adjustment penalty","costs",56.0008245722532
"700","L1","rep_100","Adjustment penalty","costs",77.7423211708926
"701","L2","rep_1","Adjustment penalty","costs",19.5952599548168
"702","L2","rep_2","Adjustment penalty","costs",23.2049131043883
"703","L2","rep_3","Adjustment penalty","costs",12.7949312533919
"704","L2","rep_4","Adjustment penalty","costs",25.106426817109
"705","L2","rep_5","Adjustment penalty","costs",15.1154225638307
"706","L2","rep_6","Adjustment penalty","costs",21.9157512652556
"707","L2","rep_7","Adjustment penalty","costs",23.5272035641715
"708","L2","rep_8","Adjustment penalty","costs",16.1789810811152
"709","L2","rep_9","Adjustment penalty","costs",12.9560764832835
"710","L2","rep_10","Adjustment penalty","costs",13.1816798051317
"711","L2","rep_11","Adjustment penalty","costs",17.6937462420961
"712","L2","rep_12","Adjustment penalty","costs",17.983807655901
"713","L2","rep_13","Adjustment penalty","costs",20.2076118284048
"714","L2","rep_14","Adjustment penalty","costs",29.1350575643987
"715","L2","rep_15","Adjustment penalty","costs",18.0804947938359
"716","L2","rep_16","Adjustment penalty","costs",23.6883487940631
"717","L2","rep_17","Adjustment penalty","costs",17.4036848282912
"718","L2","rep_18","Adjustment penalty","costs",29.6184932540734
"719","L2","rep_19","Adjustment penalty","costs",15.4054839776356
"720","L2","rep_20","Adjustment penalty","costs",23.7528068860197
"721","L2","rep_21","Adjustment penalty","costs",28.0392700011359
"722","L2","rep_22","Adjustment penalty","costs",25.0419687251524
"723","L2","rep_23","Adjustment penalty","costs",16.7913329547032
"724","L2","rep_24","Adjustment penalty","costs",16.7591039087249
"725","L2","rep_25","Adjustment penalty","costs",19.9497794605783
"726","L2","rep_26","Adjustment penalty","costs",16.1467520351369
"727","L2","rep_27","Adjustment penalty","costs",27.136856713743
"728","L2","rep_28","Adjustment penalty","costs",24.7519073113475
"729","L2","rep_29","Adjustment penalty","costs",19.1762823570987
"730","L2","rep_30","Adjustment penalty","costs",19.0473661731854
"731","L2","rep_31","Adjustment penalty","costs",17.178081506443
"732","L2","rep_32","Adjustment penalty","costs",15.5666292075272
"733","L2","rep_33","Adjustment penalty","costs",17.0491653225298
"734","L2","rep_34","Adjustment penalty","costs",14.5997578281777
"735","L2","rep_35","Adjustment penalty","costs",21.8835222192773
"736","L2","rep_36","Adjustment penalty","costs",18.0160367018793
"737","L2","rep_37","Adjustment penalty","costs",13.5361993108932
"738","L2","rep_38","Adjustment penalty","costs",16.2112101270935
"739","L2","rep_39","Adjustment penalty","costs",15.6633163454621
"740","L2","rep_40","Adjustment penalty","costs",19.5308018628602
"741","L2","rep_41","Adjustment penalty","costs",24.7519073113475
"742","L2","rep_42","Adjustment penalty","costs",23.6561197480848
"743","L2","rep_43","Adjustment penalty","costs",18.3060981156841
"744","L2","rep_44","Adjustment penalty","costs",18.2416400237275
"745","L2","rep_45","Adjustment penalty","costs",17.3069976903563
"746","L2","rep_46","Adjustment penalty","costs",26.2344434263501
"747","L2","rep_47","Adjustment penalty","costs",21.6256898514508
"748","L2","rep_48","Adjustment penalty","costs",30.0696998977699
"749","L2","rep_49","Adjustment penalty","costs",18.1449528857925
"750","L2","rep_50","Adjustment penalty","costs",15.9211487132887
"751","L2","rep_51","Adjustment penalty","costs",29.8763256219
"752","L2","rep_52","Adjustment penalty","costs",26.3633596102634
"753","L2","rep_53","Adjustment penalty","costs",20.8521927479712
"754","L2","rep_54","Adjustment penalty","costs",29.1028285184204
"755","L2","rep_55","Adjustment penalty","costs",27.6525214493961
"756","L2","rep_56","Adjustment penalty","costs",16.1789810811152
"757","L2","rep_57","Adjustment penalty","costs",28.2971023689624
"758","L2","rep_58","Adjustment penalty","costs",20.8521927479712
"759","L2","rep_59","Adjustment penalty","costs",20.626589426123
"760","L2","rep_60","Adjustment penalty","costs",17.9515786099226
"761","L2","rep_61","Adjustment penalty","costs",23.4627454722149
"762","L2","rep_62","Adjustment penalty","costs",28.3615604609191
"763","L2","rep_63","Adjustment penalty","costs",22.1735836330822
"764","L2","rep_64","Adjustment penalty","costs",20.2720699203615
"765","L2","rep_65","Adjustment penalty","costs",23.785035931998
"766","L2","rep_66","Adjustment penalty","costs",18.9829080812288
"767","L2","rep_67","Adjustment penalty","costs",21.6579188974291
"768","L2","rep_68","Adjustment penalty","costs",16.7591039087249
"769","L2","rep_69","Adjustment penalty","costs",17.4359138742696
"770","L2","rep_70","Adjustment penalty","costs",19.8853213686217
"771","L2","rep_71","Adjustment penalty","costs",20.1753827824265
"772","L2","rep_72","Adjustment penalty","costs",15.3732549316573
"773","L2","rep_73","Adjustment penalty","costs",25.1386558630873
"774","L2","rep_74","Adjustment penalty","costs",22.1413545871039
"775","L2","rep_75","Adjustment penalty","costs",21.142254161776
"776","L2","rep_76","Adjustment penalty","costs",16.0178358512236
"777","L2","rep_77","Adjustment penalty","costs",26.3955886562417
"778","L2","rep_78","Adjustment penalty","costs",15.5666292075272
"779","L2","rep_79","Adjustment penalty","costs",19.1440533111204
"780","L2","rep_80","Adjustment penalty","costs",11.6669146441508
"781","L2","rep_81","Adjustment penalty","costs",12.2148084257822
"782","L2","rep_82","Adjustment penalty","costs",19.9175504146
"783","L2","rep_83","Adjustment penalty","costs",22.3347288629738
"784","L2","rep_84","Adjustment penalty","costs",22.5281031388437
"785","L2","rep_85","Adjustment penalty","costs",10.9901046786061
"786","L2","rep_86","Adjustment penalty","costs",20.626589426123
"787","L2","rep_87","Adjustment penalty","costs",15.856690621332
"788","L2","rep_88","Adjustment penalty","costs",23.5594326101498
"789","L2","rep_89","Adjustment penalty","costs",23.269371196345
"790","L2","rep_90","Adjustment penalty","costs",21.5934608054725
"791","L2","rep_91","Adjustment penalty","costs",19.8530923226433
"792","L2","rep_92","Adjustment penalty","costs",19.2407404490553
"793","L2","rep_93","Adjustment penalty","costs",24.2684716216728
"794","L2","rep_94","Adjustment penalty","costs",22.6570193227569
"795","L2","rep_95","Adjustment penalty","costs",24.3007006676511
"796","L2","rep_96","Adjustment penalty","costs",22.8181645526485
"797","L2","rep_97","Adjustment penalty","costs",23.17268405841
"798","L2","rep_98","Adjustment penalty","costs",16.4045844029634
"799","L2","rep_99","Adjustment penalty","costs",14.3741545063294
"800","L2","rep_100","Adjustment penalty","costs",12.601556977522
"801","fixed","rep_1","Adjustment penalty","costs",70.7070707070707
"802","fixed","rep_2","Adjustment penalty","costs",70.7070707070707
"803","fixed","rep_3","Adjustment penalty","costs",50.5050505050505
"804","fixed","rep_4","Adjustment penalty","costs",101.010101010101
"805","fixed","rep_5","Adjustment penalty","costs",60.6060606060606
"806","fixed","rep_6","Adjustment penalty","costs",80.8080808080808
"807","fixed","rep_7","Adjustment penalty","costs",70.7070707070707
"808","fixed","rep_8","Adjustment penalty","costs",40.4040404040404
"809","fixed","rep_9","Adjustment penalty","costs",60.6060606060606
"810","fixed","rep_10","Adjustment penalty","costs",70.7070707070707
"811","fixed","rep_11","Adjustment penalty","costs",50.5050505050505
"812","fixed","rep_12","Adjustment penalty","costs",40.4040404040404
"813","fixed","rep_13","Adjustment penalty","costs",70.7070707070707
"814","fixed","rep_14","Adjustment penalty","costs",101.010101010101
"815","fixed","rep_15","Adjustment penalty","costs",80.8080808080808
"816","fixed","rep_16","Adjustment penalty","costs",70.7070707070707
"817","fixed","rep_17","Adjustment penalty","costs",90.9090909090909
"818","fixed","rep_18","Adjustment penalty","costs",70.7070707070707
"819","fixed","rep_19","Adjustment penalty","costs",70.7070707070707
"820","fixed","rep_20","Adjustment penalty","costs",50.5050505050505
"821","fixed","rep_21","Adjustment penalty","costs",80.8080808080808
"822","fixed","rep_22","Adjustment penalty","costs",90.9090909090909
"823","fixed","rep_23","Adjustment penalty","costs",70.7070707070707
"824","fixed","rep_24","Adjustment penalty","costs",50.5050505050505
"825","fixed","rep_25","Adjustment penalty","costs",50.5050505050505
"826","fixed","rep_26","Adjustment penalty","costs",90.9090909090909
"827","fixed","rep_27","Adjustment penalty","costs",60.6060606060606
"828","fixed","rep_28","Adjustment penalty","costs",50.5050505050505
"829","fixed","rep_29","Adjustment penalty","costs",90.9090909090909
"830","fixed","rep_30","Adjustment penalty","costs",60.6060606060606
"831","fixed","rep_31","Adjustment penalty","costs",70.7070707070707
"832","fixed","rep_32","Adjustment penalty","costs",80.8080808080808
"833","fixed","rep_33","Adjustment penalty","costs",70.7070707070707
"834","fixed","rep_34","Adjustment penalty","costs",70.7070707070707
"835","fixed","rep_35","Adjustment penalty","costs",90.9090909090909
"836","fixed","rep_36","Adjustment penalty","costs",80.8080808080808
"837","fixed","rep_37","Adjustment penalty","costs",60.6060606060606
"838","fixed","rep_38","Adjustment penalty","costs",60.6060606060606
"839","fixed","rep_39","Adjustment penalty","costs",50.5050505050505
"840","fixed","rep_40","Adjustment penalty","costs",50.5050505050505
"841","fixed","rep_41","Adjustment penalty","costs",90.9090909090909
"842","fixed","rep_42","Adjustment penalty","costs",90.9090909090909
"843","fixed","rep_43","Adjustment penalty","costs",70.7070707070707
"844","fixed","rep_44","Adjustment penalty","costs",30.3030303030303
"845","fixed","rep_45","Adjustment penalty","costs",70.7070707070707
"846","fixed","rep_46","Adjustment penalty","costs",90.9090909090909
"847","fixed","rep_47","Adjustment penalty","costs",60.6060606060606
"848","fixed","rep_48","Adjustment penalty","costs",90.9090909090909
"849","fixed","rep_49","Adjustment penalty","costs",70.7070707070707
"850","fixed","rep_50","Adjustment penalty","costs",50.5050505050505
"851","fixed","rep_51","Adjustment penalty","costs",70.7070707070707
"852","fixed","rep_52","Adjustment penalty","costs",60.6060606060606
"853","fixed","rep_53","Adjustment penalty","costs",70.7070707070707
"854","fixed","rep_54","Adjustment penalty","costs",70.7070707070707
"855","fixed","rep_55","Adjustment penalty","costs",60.6060606060606
"856","fixed","rep_56","Adjustment penalty","costs",70.7070707070707
"857","fixed","rep_57","Adjustment penalty","costs",70.7070707070707
"858","fixed","rep_58","Adjustment penalty","costs",60.6060606060606
"859","fixed","rep_59","Adjustment penalty","costs",90.9090909090909
"860","fixed","rep_60","Adjustment penalty","costs",70.7070707070707
"861","fixed","rep_61","Adjustment penalty","costs",70.7070707070707
"862","fixed","rep_62","Adjustment penalty","costs",70.7070707070707
"863","fixed","rep_63","Adjustment penalty","costs",50.5050505050505
"864","fixed","rep_64","Adjustment penalty","costs",50.5050505050505
"865","fixed","rep_65","Adjustment penalty","costs",60.6060606060606
"866","fixed","rep_66","Adjustment penalty","costs",50.5050505050505
"867","fixed","rep_67","Adjustment penalty","costs",70.7070707070707
"868","fixed","rep_68","Adjustment penalty","costs",70.7070707070707
"869","fixed","rep_69","Adjustment penalty","costs",50.5050505050505
"870","fixed","rep_70","Adjustment penalty","costs",60.6060606060606
"871","fixed","rep_71","Adjustment penalty","costs",50.5050505050505
"872","fixed","rep_72","Adjustment penalty","costs",90.9090909090909
"873","fixed","rep_73","Adjustment penalty","costs",90.9090909090909
"874","fixed","rep_74","Adjustment penalty","costs",50.5050505050505
"875","fixed","rep_75","Adjustment penalty","costs",80.8080808080808
"876","fixed","rep_76","Adjustment penalty","costs",50.5050505050505
"877","fixed","rep_77","Adjustment penalty","costs",80.8080808080808
"878","fixed","rep_78","Adjustment penalty","costs",50.5050505050505
"879","fixed","rep_79","Adjustment penalty","costs",70.7070707070707
"880","fixed","rep_80","Adjustment penalty","costs",70.7070707070707
"881","fixed","rep_81","Adjustment penalty","costs",70.7070707070707
"882","fixed","rep_82","Adjustment penalty","costs",50.5050505050505
"883","fixed","rep_83","Adjustment penalty","costs",90.9090909090909
"884","fixed","rep_84","Adjustment penalty","costs",70.7070707070707
"885","fixed","rep_85","Adjustment penalty","costs",40.4040404040404
"886","fixed","rep_86","Adjustment penalty","costs",80.8080808080808
"887","fixed","rep_87","Adjustment penalty","costs",60.6060606060606
"888","fixed","rep_88","Adjustment penalty","costs",70.7070707070707
"889","fixed","rep_89","Adjustment penalty","costs",70.7070707070707
"890","fixed","rep_90","Adjustment penalty","costs",90.9090909090909
"891","fixed","rep_91","Adjustment penalty","costs",70.7070707070707
"892","fixed","rep_92","Adjustment penalty","costs",50.5050505050505
"893","fixed","rep_93","Adjustment penalty","costs",90.9090909090909
"894","fixed","rep_94","Adjustment penalty","costs",60.6060606060606
"895","fixed","rep_95","Adjustment penalty","costs",60.6060606060606
"896","fixed","rep_96","Adjustment penalty","costs",70.7070707070707
"897","fixed","rep_97","Adjustment penalty","costs",70.7070707070707
"898","fixed","rep_98","Adjustment penalty","costs",70.7070707070707
"899","fixed","rep_99","Adjustment penalty","costs",50.5050505050505
"900","fixed","rep_100","Adjustment penalty","costs",70.7070707070707
"901","L1","rep_1","Reed","costs",103.107400535972
"902","L1","rep_2","Reed","costs",119.907647907648
"903","L1","rep_3","Reed","costs",68.1892393320965
"904","L1","rep_4","Reed","costs",108.378066378066
"905","L1","rep_5","Reed","costs",86.6365697794269
"906","L1","rep_6","Reed","costs",88.9424860853432
"907","L1","rep_7","Reed","costs",103.436817151103
"908","L1","rep_8","Reed","costs",60.2832405689549
"909","L1","rep_9","Reed","costs",94.8719851576995
"910","L1","rep_10","Reed","costs",70.8245722531437
"911","L1","rep_11","Reed","costs",63.247990105133
"912","L1","rep_12","Reed","costs",53.6949082663368
"913","L1","rep_13","Reed","costs",100.142650999794
"914","L1","rep_14","Reed","costs",132.096062667491
"915","L1","rep_15","Reed","costs",90.9189857761286
"916","L1","rep_16","Reed","costs",118.260564831993
"917","L1","rep_17","Reed","costs",104.754483611626
"918","L1","rep_18","Reed","costs",107.389816532674
"919","L1","rep_19","Reed","costs",80.3776540919398
"920","L1","rep_20","Reed","costs",88.2836528550814
"921","L1","rep_21","Reed","costs",95.2014017728304
"922","L1","rep_22","Reed","costs",107.719233147805
"923","L1","rep_23","Reed","costs",103.436817151103
"924","L1","rep_24","Reed","costs",65.8833230261802
"925","L1","rep_25","Reed","costs",69.5069057926201
"926","L1","rep_26","Reed","costs",108.048649762935
"927","L1","rep_27","Reed","costs",96.1896516182231
"928","L1","rep_28","Reed","costs",78.0717377860235
"929","L1","rep_29","Reed","costs",116.284065141208
"930","L1","rep_30","Reed","costs",76.0952380952381
"931","L1","rep_31","Reed","costs",96.519068233354
"932","L1","rep_32","Reed","costs",75.1069882498454
"933","L1","rep_33","Reed","costs",98.4955679241394
"934","L1","rep_34","Reed","costs",90.9189857761286
"935","L1","rep_35","Reed","costs",99.4838177695321
"936","L1","rep_36","Reed","costs",84.0012368583797
"937","L1","rep_37","Reed","costs",77.0834879406308
"938","L1","rep_38","Reed","costs",82.3541537827252
"939","L1","rep_39","Reed","costs",86.9659863945578
"940","L1","rep_40","Reed","costs",63.9068233353948
"941","L1","rep_41","Reed","costs",114.307565450423
"942","L1","rep_42","Reed","costs",96.1896516182231
"943","L1","rep_43","Reed","costs",78.4011544011544
"944","L1","rep_44","Reed","costs",47.4359925788497
"945","L1","rep_45","Reed","costs",85.9777365491651
"946","L1","rep_46","Reed","costs",82.6835703978561
"947","L1","rep_47","Reed","costs",70.8245722531437
"948","L1","rep_48","Reed","costs",126.825396825397
"949","L1","rep_49","Reed","costs",80.7070707070707
"950","L1","rep_50","Reed","costs",78.0717377860235
"951","L1","rep_51","Reed","costs",82.0247371675943
"952","L1","rep_52","Reed","costs",93.5543186971758
"953","L1","rep_53","Reed","costs",82.0247371675943
"954","L1","rep_54","Reed","costs",121.225314368172
"955","L1","rep_55","Reed","costs",73.7893217893218
"956","L1","rep_56","Reed","costs",96.8484848484849
"957","L1","rep_57","Reed","costs",91.9072356215213
"958","L1","rep_58","Reed","costs",87.9542362399505
"959","L1","rep_59","Reed","costs",101.789734075448
"960","L1","rep_60","Reed","costs",84.3306534735106
"961","L1","rep_61","Reed","costs",82.3541537827252
"962","L1","rep_62","Reed","costs",90.9189857761286
"963","L1","rep_63","Reed","costs",66.8715728715729
"964","L1","rep_64","Reed","costs",75.4364048649763
"965","L1","rep_65","Reed","costs",78.7305710162853
"966","L1","rep_66","Reed","costs",64.8950731807875
"967","L1","rep_67","Reed","costs",65.8833230261802
