"","penalty_fn","reps","variable","value","penalty_fraction","statistic","timeseries"
"93","fixed",31,"stock.variance",4.4176527760619,0,"variance","harvest"
"94","L1",32,"stock.variance",5.54157044429144,0,"variance","harvest"
"95","L2",32,"stock.variance",4.68454331065447,0,"variance","harvest"
"96","fixed",32,"stock.variance",6.35522181147071,0,"variance","harvest"
"97","L1",33,"stock.variance",4.53975967573268,0,"variance","harvest"
"98","L2",33,"stock.variance",3.57015771287309,0,"variance","harvest"
"99","fixed",33,"stock.variance",4.50801887893879,0,"variance","harvest"
"100","L1",34,"stock.variance",7.06394830902176,0,"variance","harvest"
"101","L2",34,"stock.variance",3.95455818682525,0,"variance","harvest"
"102","fixed",34,"stock.variance",4.43997404351086,0,"variance","harvest"
"103","L1",35,"stock.variance",4.05739181849636,0,"variance","harvest"
"104","L2",35,"stock.variance",6.34339302543285,0,"variance","harvest"
"105","fixed",35,"stock.variance",4.64447509501304,0,"variance","harvest"
"106","L1",36,"stock.variance",4.05213638656237,0,"variance","harvest"
"107","L2",36,"stock.variance",4.55938627802329,0,"variance","harvest"
"108","fixed",36,"stock.variance",4.07819275215968,0,"variance","harvest"
"109","L1",37,"stock.variance",3.87732114709652,0,"variance","harvest"
"110","L2",37,"stock.variance",5.59290106157145,0,"variance","harvest"
"111","fixed",37,"stock.variance",5.76792684505408,0,"variance","harvest"
"112","L1",38,"stock.variance",3.37543144079268,0,"variance","harvest"
"113","L2",38,"stock.variance",3.57404526578074,0,"variance","harvest"
"114","fixed",38,"stock.variance",5.63299514735687,0,"variance","harvest"
"115","L1",39,"stock.variance",5.70871299008092,0,"variance","harvest"
"116","L2",39,"stock.variance",6.63214976612478,0,"variance","harvest"
"117","fixed",39,"stock.variance",4.12944120384204,0,"variance","harvest"
"118","L1",40,"stock.variance",7.77694451061241,0,"variance","harvest"
"119","L2",40,"stock.variance",5.70977767636804,0,"variance","harvest"
"120","fixed",40,"stock.variance",4.2494874670063,0,"variance","harvest"
"121","L1",41,"stock.variance",5.2258333120707,0,"variance","harvest"
"122","L2",41,"stock.variance",5.41027608359777,0,"variance","harvest"
"123","fixed",41,"stock.variance",5.21950586149038,0,"variance","harvest"
"124","L1",42,"stock.variance",5.88398984905086,0,"variance","harvest"
"125","L2",42,"stock.variance",4.84285549222647,0,"variance","harvest"
"126","fixed",42,"stock.variance",5.64193057734874,0,"variance","harvest"
"127","L1",43,"stock.variance",5.88427804232666,0,"variance","harvest"
"128","L2",43,"stock.variance",4.4274530762841,0,"variance","harvest"
"129","fixed",43,"stock.variance",4.77770769414894,0,"variance","harvest"
"130","L1",44,"stock.variance",4.49109419209487,0,"variance","harvest"
"131","L2",44,"stock.variance",5.11593483110465,0,"variance","harvest"
"132","fixed",44,"stock.variance",5.50529181067996,0,"variance","harvest"
"133","L1",45,"stock.variance",5.21810303597904,0,"variance","harvest"
"134","L2",45,"stock.variance",4.76254460494145,0,"variance","harvest"
"135","fixed",45,"stock.variance",4.26820630568526,0,"variance","harvest"
"136","L1",46,"stock.variance",3.26687982607928,0,"variance","harvest"
"137","L2",46,"stock.variance",4.29064691421704,0,"variance","harvest"
"138","fixed",46,"stock.variance",4.28284370580785,0,"variance","harvest"
"139","L1",47,"stock.variance",3.84593759013878,0,"variance","harvest"
"140","L2",47,"stock.variance",5.08094133584523,0,"variance","harvest"
"141","fixed",47,"stock.variance",4.97216125314046,0,"variance","harvest"
"142","L1",48,"stock.variance",7.75273648679388,0,"variance","harvest"
"143","L2",48,"stock.variance",4.54408099748266,0,"variance","harvest"
"144","fixed",48,"stock.variance",5.60778798824473,0,"variance","harvest"
"145","L1",49,"stock.variance",3.94100155823742,0,"variance","harvest"
"146","L2",49,"stock.variance",6.93910624717407,0,"variance","harvest"
"147","fixed",49,"stock.variance",3.8477410077772,0,"variance","harvest"
"148","L1",50,"stock.variance",6.62439236459463,0,"variance","harvest"
"149","L2",50,"stock.variance",4.4941298842471,0,"variance","harvest"
"150","fixed",50,"stock.variance",5.19121204442598,0,"variance","harvest"
"151","L1",1,"harvest.autocorrelation",-0.200614071109854,0,"autocor","harvest"
"152","L2",1,"harvest.autocorrelation",-0.408904328244183,0,"autocor","harvest"
"153","fixed",1,"harvest.autocorrelation",-0.293614668036176,0,"autocor","harvest"
"154","L1",2,"harvest.autocorrelation",-0.182079724311275,0,"autocor","harvest"
"155","L2",2,"harvest.autocorrelation",-0.101287129960253,0,"autocor","harvest"
"156","fixed",2,"harvest.autocorrelation",-0.250602882623763,0,"autocor","harvest"
"157","L1",3,"harvest.autocorrelation",-0.166108439490111,0,"autocor","harvest"
"158","L2",3,"harvest.autocorrelation",-0.155505229013636,0,"autocor","harvest"
"159","fixed",3,"harvest.autocorrelation",-0.196356822764709,0,"autocor","harvest"
"160","L1",4,"harvest.autocorrelation",-0.390159614849183,0,"autocor","harvest"
"161","L2",4,"harvest.autocorrelation",-0.196689155482498,0,"autocor","harvest"
"162","fixed",4,"harvest.autocorrelation",-0.268325039285578,0,"autocor","harvest"
"163","L1",5,"harvest.autocorrelation",-0.252256699578201,0,"autocor","harvest"
"164","L2",5,"harvest.autocorrelation",-0.0897775669827432,0,"autocor","harvest"
"165","fixed",5,"harvest.autocorrelation",-0.171559906980102,0,"autocor","harvest"
"166","L1",6,"harvest.autocorrelation",-0.259339485252175,0,"autocor","harvest"
"167","L2",6,"harvest.autocorrelation",-0.275767536118181,0,"autocor","harvest"
"168","fixed",6,"harvest.autocorrelation",-0.404334889232162,0,"autocor","harvest"
"169","L1",7,"harvest.autocorrelation",-0.0802238431650641,0,"autocor","harvest"
"170","L2",7,"harvest.autocorrelation",-0.275036687568586,0,"autocor","harvest"
"171","fixed",7,"harvest.autocorrelation",-0.250027316731088,0,"autocor","harvest"
