"","time","replicate","penalty_fn","variable","stock"
"119",21,"rep_18","L1","fishstock",7.88895624985669
"120",22,"rep_18","L1","fishstock",6.03468365430408
"121",23,"rep_18","L1","fishstock",7.73797447735288
"122",24,"rep_18","L1","fishstock",6.60302988126884
"123",25,"rep_18","L1","fishstock",5.87239420298566
"124",26,"rep_18","L1","fishstock",6.63336836119511
"125",27,"rep_18","L1","fishstock",4.57082488270914
"126",28,"rep_18","L1","fishstock",4.51059556122079
"127",29,"rep_18","L1","fishstock",5.38247217900743
"128",30,"rep_18","L1","fishstock",6.03102220033475
"129",31,"rep_18","L1","fishstock",4.89347096839972
"130",32,"rep_18","L1","fishstock",4.90903277110083
"131",33,"rep_18","L1","fishstock",6.15208061864482
"132",34,"rep_18","L1","fishstock",7.5045491739328
"133",35,"rep_18","L1","fishstock",9.64748243013716
"134",36,"rep_18","L1","fishstock",4.86182766528875
"135",37,"rep_18","L1","fishstock",7.20420636498742
"136",38,"rep_18","L1","fishstock",9.06695315709293
"137",39,"rep_18","L1","fishstock",3.87865159315828
"138",40,"rep_18","L1","fishstock",5.49294920354652
"139",41,"rep_18","L1","fishstock",7.60666457377989
"140",42,"rep_18","L1","fishstock",8.88472623156447
"141",43,"rep_18","L1","fishstock",11.8721651436936
"142",44,"rep_18","L1","fishstock",9.06233378287789
"143",45,"rep_18","L1","fishstock",7.09120957883454
"144",46,"rep_18","L1","fishstock",6.55520694010585
"145",47,"rep_18","L1","fishstock",6.90453867733493
"146",48,"rep_18","L1","fishstock",7.73354839796368
"147",49,"rep_18","L1","fishstock",5.5937438101987
"148",1,"rep_19","L1","fishstock",10
"149",2,"rep_19","L1","fishstock",3.49431219785347
"150",3,"rep_19","L1","fishstock",4.81074356463431
"151",4,"rep_19","L1","fishstock",5.42071590145869
"152",5,"rep_19","L1","fishstock",5.7249201195861
"153",6,"rep_19","L1","fishstock",8.11195396403894
"154",7,"rep_19","L1","fishstock",6.30796141689941
"155",8,"rep_19","L1","fishstock",7.76530614083126
"156",9,"rep_19","L1","fishstock",6.54188889923985
"157",10,"rep_19","L1","fishstock",6.18976475859673
"158",11,"rep_19","L1","fishstock",5.96917359934763
"159",12,"rep_19","L1","fishstock",6.63532318089533
"160",13,"rep_19","L1","fishstock",7.88200353827461
"161",14,"rep_19","L1","fishstock",8.6527068731436
"162",15,"rep_19","L1","fishstock",7.35760273568037
"163",16,"rep_19","L1","fishstock",7.43970128565916
"164",17,"rep_19","L1","fishstock",6.26050771822992
"165",18,"rep_19","L1","fishstock",5.30454958859191
"166",19,"rep_19","L1","fishstock",8.31946569743544
"167",20,"rep_19","L1","fishstock",6.51420493595672
"168",21,"rep_19","L1","fishstock",5.9034175518078
"169",22,"rep_19","L1","fishstock",8.28089324909163
"170",23,"rep_19","L1","fishstock",5.95762789288599
"171",24,"rep_19","L1","fishstock",6.58371164425454
"172",25,"rep_19","L1","fishstock",8.8809624116731
"173",26,"rep_19","L1","fishstock",5.38159967667317
"174",27,"rep_19","L1","fishstock",7.06857363177909
"175",28,"rep_19","L1","fishstock",7.63454144461483
"176",29,"rep_19","L1","fishstock",11.8483950373393
"177",30,"rep_19","L1","fishstock",4.54072336768846
"178",31,"rep_19","L1","fishstock",5.83101811794592
"179",32,"rep_19","L1","fishstock",9.13791310713692
"180",33,"rep_19","L1","fishstock",4.69488362215607
"181",34,"rep_19","L1","fishstock",6.39309839912864
"182",35,"rep_19","L1","fishstock",7.57004171946478
"183",36,"rep_19","L1","fishstock",9.30210385261468
"184",37,"rep_19","L1","fishstock",4.72251713824216
"185",38,"rep_19","L1","fishstock",10.1559161735014
"186",39,"rep_19","L1","fishstock",2.86533107871251
"187",40,"rep_19","L1","fishstock",3.33049497835116
"188",41,"rep_19","L1","fishstock",3.5190985513934
"189",42,"rep_19","L1","fishstock",4.64887101969143
"190",43,"rep_19","L1","fishstock",8.28202050122586
"191",44,"rep_19","L1","fishstock",5.16761074164086
"192",45,"rep_19","L1","fishstock",4.97126123371474
"193",46,"rep_19","L1","fishstock",5.5682351379081
"194",47,"rep_19","L1","fishstock",6.39332190003683
"195",48,"rep_19","L1","fishstock",8.14848971954524
"196",49,"rep_19","L1","fishstock",9.17506245591192
"197",1,"rep_20","L1","fishstock",10
"198",2,"rep_20","L1","fishstock",5.59327155486285
"199",3,"rep_20","L1","fishstock",5.82319284562119
"200",4,"rep_20","L1","fishstock",9.65556693568637
"201",5,"rep_20","L1","fishstock",3.78094671810221
"202",6,"rep_20","L1","fishstock",4.35248091707993
"203",7,"rep_20","L1","fishstock",5.99749223406951
"204",8,"rep_20","L1","fishstock",3.87796747659289
"205",9,"rep_20","L1","fishstock",4.08607803847518
"206",10,"rep_20","L1","fishstock",4.63100251713135
"207",11,"rep_20","L1","fishstock",5.03846280567449
"208",12,"rep_20","L1","fishstock",6.00306967429378
"209",13,"rep_20","L1","fishstock",6.71198498878083
"210",14,"rep_20","L1","fishstock",6.64083609313497
"211",15,"rep_20","L1","fishstock",9.732810076151
"212",16,"rep_20","L1","fishstock",3.31713591158729
"213",17,"rep_20","L1","fishstock",3.90022702591617
"214",18,"rep_20","L1","fishstock",5.93170059803963
"215",19,"rep_20","L1","fishstock",6.89216392047377
"216",20,"rep_20","L1","fishstock",7.54972436268515
"217",21,"rep_20","L1","fishstock",8.30688529693211
"218",22,"rep_20","L1","fishstock",7.71807600397647
"219",23,"rep_20","L1","fishstock",6.65188932649576
"220",24,"rep_20","L1","fishstock",6.76301056731014
"221",25,"rep_20","L1","fishstock",6.41861813500548
"222",26,"rep_20","L1","fishstock",5.81128374603273
"223",27,"rep_20","L1","fishstock",4.3422656465157
"224",28,"rep_20","L1","fishstock",4.7410225851388
"225",29,"rep_20","L1","fishstock",4.56281745311809
"226",30,"rep_20","L1","fishstock",3.39122002256683
"227",31,"rep_20","L1","fishstock",3.83741562910206
"228",32,"rep_20","L1","fishstock",4.61489007636449
"229",33,"rep_20","L1","fishstock",7.71680275626745
"230",34,"rep_20","L1","fishstock",10.6786290673712
"231",35,"rep_20","L1","fishstock",7.82981713471086
"232",36,"rep_20","L1","fishstock",4.72839683957347
"233",37,"rep_20","L1","fishstock",3.94716480354686
"234",38,"rep_20","L1","fishstock",4.11035837051326
"235",39,"rep_20","L1","fishstock",6.54799457401237
"236",40,"rep_20","L1","fishstock",7.52191936473624
"237",41,"rep_20","L1","fishstock",8.33886967048309
"238",42,"rep_20","L1","fishstock",6.27285213884313
"239",43,"rep_20","L1","fishstock",4.37781787233129
"240",44,"rep_20","L1","fishstock",6.00969519174253
"241",45,"rep_20","L1","fishstock",6.43026300083041
"242",46,"rep_20","L1","fishstock",5.91243378572264
"243",47,"rep_20","L1","fishstock",6.86105489000747
"244",48,"rep_20","L1","fishstock",9.13095613191837
"245",49,"rep_20","L1","fishstock",9.11805912390957
"246",1,"rep_16","L2","fishstock",10
"247",2,"rep_16","L2","fishstock",9.59243172522791
"248",3,"rep_16","L2","fishstock",7.82298607778149
"249",4,"rep_16","L2","fishstock",8.64148665598572
"250",5,"rep_16","L2","fishstock",5.62356677668785
"251",6,"rep_16","L2","fishstock",7.50153714203955
"252",7,"rep_16","L2","fishstock",6.45405121961155
"253",8,"rep_16","L2","fishstock",5.26543992142851
"254",9,"rep_16","L2","fishstock",6.00784390331523
"255",10,"rep_16","L2","fishstock",7.76681680018703
"256",11,"rep_16","L2","fishstock",8.04869052240041
"257",12,"rep_16","L2","fishstock",10.5331061996423
"258",13,"rep_16","L2","fishstock",8.69806429101073
"259",14,"rep_16","L2","fishstock",6.26851799810274
"260",15,"rep_16","L2","fishstock",8.51540990112309
"261",16,"rep_16","L2","fishstock",8.70847038892555
"262",17,"rep_16","L2","fishstock",5.32442847132897
"263",18,"rep_16","L2","fishstock",6.36358669288667
"264",19,"rep_16","L2","fishstock",7.15101972869219
"265",20,"rep_16","L2","fishstock",6.21062517663729
"266",21,"rep_16","L2","fishstock",7.97443130629709
"267",22,"rep_16","L2","fishstock",5.2906068891976
"268",23,"rep_16","L2","fishstock",5.44497043247994
"269",24,"rep_16","L2","fishstock",5.73445193842346
"270",25,"rep_16","L2","fishstock",8.35172928422412
"271",26,"rep_16","L2","fishstock",6.4535077889639
"272",27,"rep_16","L2","fishstock",8.73877590075097
"273",28,"rep_16","L2","fishstock",9.53718585757618
"274",29,"rep_16","L2","fishstock",9.80198700802262
"275",30,"rep_16","L2","fishstock",9.3778981294506
"276",31,"rep_16","L2","fishstock",8.05545175877325
"277",32,"rep_16","L2","fishstock",6.12039562436152
"278",33,"rep_16","L2","fishstock",6.290716556318
"279",34,"rep_16","L2","fishstock",6.19823538474477
"280",35,"rep_16","L2","fishstock",5.26114511337718
"281",36,"rep_16","L2","fishstock",4.83193898366966
"282",37,"rep_16","L2","fishstock",5.9951212485896
"283",38,"rep_16","L2","fishstock",7.04234906122886
"284",39,"rep_16","L2","fishstock",7.00687108081304
"285",40,"rep_16","L2","fishstock",7.03220578709201
"286",41,"rep_16","L2","fishstock",6.29050002127326
"287",42,"rep_16","L2","fishstock",4.82276396674825
"288",43,"rep_16","L2","fishstock",8.30785304668273
"289",44,"rep_16","L2","fishstock",8.01623581143824
"290",45,"rep_16","L2","fishstock",6.63071464195869
"291",46,"rep_16","L2","fishstock",5.55308069871968
"292",47,"rep_16","L2","fishstock",5.90041948656328
"293",48,"rep_16","L2","fishstock",5.73352953917964
"294",49,"rep_16","L2","fishstock",5.51759522692783
"295",1,"rep_17","L2","fishstock",10
"296",2,"rep_17","L2","fishstock",7.11844998940378
"297",3,"rep_17","L2","fishstock",6.64113268979418
"298",4,"rep_17","L2","fishstock",6.16692124860369
"299",5,"rep_17","L2","fishstock",5.36997873838675
"300",6,"rep_17","L2","fishstock",6.85637245217231
"301",7,"rep_17","L2","fishstock",6.58360747740483
"302",8,"rep_17","L2","fishstock",7.96679377125044
"303",9,"rep_17","L2","fishstock",10.1618148986755
"304",10,"rep_17","L2","fishstock",8.78095647763924
"305",11,"rep_17","L2","fishstock",8.05644399523327
"306",12,"rep_17","L2","fishstock",9.04858463234397
"307",13,"rep_17","L2","fishstock",8.76925628333867
"308",14,"rep_17","L2","fishstock",9.68810511399507
"309",15,"rep_17","L2","fishstock",8.27238476963186
