"","time","fishstock","harvest","unharvested","escapement","alternate","harvest_alt","profit_fishing","policy_cost","profit_fishing_alt","policy_cost_alt","replicate","penalty_fn"
"1",1,10,6.53244897959184,10,10,10,6.36938775510204,45.7271428571448,13.176664605236,44.5857142857162,12.8472479901051,"rep_1","L1"
"2",2,3.91077884472849,0.01,8.82240343189873,3.46755102040816,4.06642776716845,0.01,0.0232889375976076,13.176664605236,0.0262251742371848,13.176664605236,"rep_1","L1"
"3",3,5.07939031384697,0.01,9.52640479973506,3.90077884472849,5.24789238142927,0.01,0.040937793423335,0,0.0428341935780632,0,"rep_1","L1"
"4",4,5.1327656314023,0.01,8.18951038392148,5.06939031384697,5.26796599181414,0.01,0.0415519777165473,0,0.0430520241652829,0,"rep_1","L1"
"5",5,8.4163274675661,3.43428571428571,11.9910162003738,5.1227656314023,8.59221198379727,4.24959183673469,22.1013454115706,6.91774891774892,27.6583241200873,8.56483199340342,"rep_1","L1"
"6",6,6.39030179654391,0.173061224489796,12.0107434387501,4.98204175328039,5.71645062647854,0.01,0.918156605087492,6.58833230261802,0.0475198825980669,8.23541537827252,"rep_1","L1"
"7",7,6.03763659868006,0.173061224489796,9.55279385284123,6.21724057205412,5.65171461675412,0.01,0.870700150183936,0,0.0469187635358273,0,"rep_1","L1"
"8",8,7.49876983694123,0.82530612244898,10.6903190247684,5.86457537419026,7.27650539627448,0.988367346938776,4.95129517327767,1.3176664605236,5.80877504035061,1.97649969078541,"rep_1","L1"
"9",9,8.70007931714184,2.29285714285714,12.1126895585073,6.67346371449225,8.31789750592525,3.76040816326531,15.0222395690242,2.96474953617811,24.0414902665556,7.24716553287982,"rep_1","L1"
"10",10,8.16732902671212,2.29285714285714,12.6968764391797,6.40722217428469,6.2470457284543,0.01,14.5065139773858,0,0.0519773004648422,5.60008245722531,"rep_1","L1"
"11",11,6.4075630998537,0.82530612244898,10.9593849930308,5.87447188385498,6.70902719700326,0.01,4.38900506341495,2.96474953617811,0.0552841282065518,0,"rep_1","L1"
"12",12,8.85735123136418,2.29285714285714,14.3690070310133,5.58225697740472,10.1847225325853,6.69551020408163,15.1626250989132,2.96474953617811,47.2328852126432,13.5060812203669,"rep_1","L1"
