"","time","penalty_fn","variable","value"
"143",45,"fixed","harvest",6.85857142857143
"144",46,"fixed","harvest",0.01
"145",47,"fixed","harvest",0.01
"146",48,"fixed","harvest",5.06489795918367
"147",49,"fixed","harvest",5.06489795918367
"148",1,"L1","harvest_alt",6.36938775510204
"149",2,"L1","harvest_alt",0.01
"150",3,"L1","harvest_alt",0.01
"151",4,"L1","harvest_alt",0.01
"152",5,"L1","harvest_alt",0.01
"153",6,"L1","harvest_alt",0.988367346938776
"154",7,"L1","harvest_alt",0.499183673469388
"155",8,"L1","harvest_alt",4.90183673469388
"156",9,"L1","harvest_alt",0.988367346938776
"157",10,"L1","harvest_alt",1.64061224489796
"158",11,"L1","harvest_alt",0.988367346938776
"159",12,"L1","harvest_alt",4.90183673469388
"160",13,"L1","harvest_alt",0.01
"161",14,"L1","harvest_alt",4.57571428571429
"162",15,"L1","harvest_alt",0.01
"163",16,"L1","harvest_alt",4.90183673469388
"164",17,"L1","harvest_alt",0.01
"165",18,"L1","harvest_alt",0.499183673469388
"166",19,"L1","harvest_alt",1.64061224489796
"167",20,"L1","harvest_alt",2.45591836734694
"168",21,"L1","harvest_alt",0.988367346938776
"169",22,"L1","harvest_alt",3.76040816326531
"170",23,"L1","harvest_alt",0.01
"171",24,"L1","harvest_alt",0.01
"172",25,"L1","harvest_alt",3.76040816326531
"173",26,"L1","harvest_alt",0.01
"174",27,"L1","harvest_alt",1.64061224489796
"175",28,"L1","harvest_alt",0.01
"176",29,"L1","harvest_alt",3.10816326530612
"177",30,"L1","harvest_alt",0.01
"178",31,"L1","harvest_alt",0.01
"179",32,"L1","harvest_alt",0.01
"180",33,"L1","harvest_alt",0.01
"181",34,"L1","harvest_alt",0.01
"182",35,"L1","harvest_alt",0.01
"183",36,"L1","harvest_alt",0.01
"184",37,"L1","harvest_alt",0.01
"185",38,"L1","harvest_alt",0.01
"186",39,"L1","harvest_alt",0.01
"187",40,"L1","harvest_alt",0.01
"188",41,"L1","harvest_alt",0.01
"189",42,"L1","harvest_alt",0.01
"190",43,"L1","harvest_alt",0.499183673469388
"191",44,"L1","harvest_alt",0.499183673469388
"192",45,"L1","harvest_alt",5.39102040816327
"193",46,"L1","harvest_alt",1.80367346938776
"194",47,"L1","harvest_alt",0.173061224489796
"195",48,"L1","harvest_alt",4.57571428571429
"196",49,"L1","harvest_alt",6.69551020408163
"197",1,"L2","harvest_alt",6.36938775510204
"198",2,"L2","harvest_alt",0.01
"199",3,"L2","harvest_alt",0.01
"200",4,"L2","harvest_alt",0.01
"201",5,"L2","harvest_alt",0.01
"202",6,"L2","harvest_alt",0.988367346938776
"203",7,"L2","harvest_alt",0.499183673469388
"204",8,"L2","harvest_alt",4.90183673469388
"205",9,"L2","harvest_alt",0.988367346938776
"206",10,"L2","harvest_alt",1.64061224489796
"207",11,"L2","harvest_alt",0.988367346938776
"208",12,"L2","harvest_alt",4.90183673469388
"209",13,"L2","harvest_alt",0.01
"210",14,"L2","harvest_alt",4.57571428571429
"211",15,"L2","harvest_alt",0.01
"212",16,"L2","harvest_alt",4.90183673469388
"213",17,"L2","harvest_alt",0.01
"214",18,"L2","harvest_alt",0.499183673469388
"215",19,"L2","harvest_alt",1.64061224489796
"216",20,"L2","harvest_alt",2.45591836734694
"217",21,"L2","harvest_alt",0.988367346938776
"218",22,"L2","harvest_alt",3.76040816326531
"219",23,"L2","harvest_alt",0.01
"220",24,"L2","harvest_alt",0.01
"221",25,"L2","harvest_alt",3.76040816326531
"222",26,"L2","harvest_alt",0.01
"223",27,"L2","harvest_alt",1.64061224489796
"224",28,"L2","harvest_alt",0.01
"225",29,"L2","harvest_alt",3.10816326530612
