"","time","penalty_fn","variable","value","baseline"
"95",15,"L2","fish_stock",5.72740546447899,"no_penalty"
"96",16,"L2","fish_stock",9.16860818442073,"no_penalty"
"97",17,"L2","fish_stock",5.85700822101127,"no_penalty"
"98",18,"L2","fish_stock",8.0255231978073,"no_penalty"
"99",19,"L2","fish_stock",7.49485404592326,"no_penalty"
"100",20,"L2","fish_stock",0,"no_penalty"
"101",1,"fixed","fish_stock",10,"no_penalty"
"102",2,"fixed","fish_stock",3.76238827177054,"no_penalty"
"103",3,"fixed","fish_stock",4.6644944600617,"no_penalty"
"104",4,"fixed","fish_stock",5.40580872749137,"no_penalty"
"105",5,"fixed","fish_stock",5.41288453142566,"no_penalty"
"106",6,"fixed","fish_stock",7.44606571632471,"no_penalty"
"107",7,"fixed","fish_stock",7.08373130754185,"no_penalty"
"108",8,"fixed","fish_stock",9.02652777391032,"no_penalty"
"109",9,"fixed","fish_stock",7.23014762550832,"no_penalty"
"110",10,"fixed","fish_stock",7.50941388068278,"no_penalty"
"111",11,"fixed","fish_stock",7.32377858930995,"no_penalty"
"112",12,"fixed","fish_stock",9.13940685528899,"no_penalty"
"113",13,"fixed","fish_stock",5.96507662975261,"no_penalty"
"114",14,"fixed","fish_stock",8.91859661746453,"no_penalty"
"115",15,"fixed","fish_stock",5.72740546447899,"no_penalty"
"116",16,"fixed","fish_stock",9.16860818442073,"no_penalty"
"117",17,"fixed","fish_stock",5.85700822101127,"no_penalty"
"118",18,"fixed","fish_stock",8.0255231978073,"no_penalty"
"119",19,"fixed","fish_stock",7.49485404592326,"no_penalty"
"120",20,"fixed","fish_stock",0,"no_penalty"
