"","penalty_fn","reps","variable","value","penalty_fraction","statistic","timeseries"
"72","fixed",24,"stock.autocorrelation",-0.0748164164755228,0,"variance","stock"
"73","L1",25,"stock.autocorrelation",-0.0816708598465695,0,"variance","stock"
"74","L2",25,"stock.autocorrelation",-0.0236875355714567,0,"variance","stock"
"75","fixed",25,"stock.autocorrelation",-0.0175864830022945,0,"variance","stock"
"76","L1",26,"stock.autocorrelation",0.0177556109192147,0,"variance","stock"
"77","L2",26,"stock.autocorrelation",0.0117896938059472,0,"variance","stock"
"78","fixed",26,"stock.autocorrelation",-0.188478170903626,0,"variance","stock"
"79","L1",27,"stock.autocorrelation",-0.359608130734733,0,"variance","stock"
"80","L2",27,"stock.autocorrelation",-0.236060818333034,0,"variance","stock"
"81","fixed",27,"stock.autocorrelation",0.147137752248603,0,"variance","stock"
"82","L1",28,"stock.autocorrelation",-0.127314663040297,0,"variance","stock"
"83","L2",28,"stock.autocorrelation",-0.0490195544942382,0,"variance","stock"
"84","fixed",28,"stock.autocorrelation",0.001262808004174,0,"variance","stock"
"85","L1",29,"stock.autocorrelation",-0.109948247046133,0,"variance","stock"
"86","L2",29,"stock.autocorrelation",-0.066788056427503,0,"variance","stock"
"87","fixed",29,"stock.autocorrelation",0.0219868921326545,0,"variance","stock"
"88","L1",30,"stock.autocorrelation",-0.0171287753016623,0,"variance","stock"
"89","L2",30,"stock.autocorrelation",0.164832658748716,0,"variance","stock"
"90","fixed",30,"stock.autocorrelation",-0.196160309423911,0,"variance","stock"
"91","L1",31,"stock.autocorrelation",0.138182888277217,0,"variance","stock"
"92","L2",31,"stock.autocorrelation",0.109151914216035,0,"variance","stock"
"93","fixed",31,"stock.autocorrelation",-0.0988836980350887,0,"variance","stock"
"94","L1",32,"stock.autocorrelation",-0.18099277889574,0,"variance","stock"
"95","L2",32,"stock.autocorrelation",-0.226148010003408,0,"variance","stock"
"96","fixed",32,"stock.autocorrelation",0.000663014168092933,0,"variance","stock"
"97","L1",33,"stock.autocorrelation",-0.088951184528679,0,"variance","stock"
"98","L2",33,"stock.autocorrelation",-0.287950176860735,0,"variance","stock"
"99","fixed",33,"stock.autocorrelation",-0.0894063313650086,0,"variance","stock"
"100","L1",34,"stock.autocorrelation",-0.063408695165635,0,"variance","stock"
"101","L2",34,"stock.autocorrelation",-0.193343439066349,0,"variance","stock"
"102","fixed",34,"stock.autocorrelation",-0.117263477787346,0,"variance","stock"
"103","L1",35,"stock.autocorrelation",-0.0322020600685965,0,"variance","stock"
"104","L2",35,"stock.autocorrelation",0.0503588681938613,0,"variance","stock"
"105","fixed",35,"stock.autocorrelation",0.0524734382971473,0,"variance","stock"
"106","L1",36,"stock.autocorrelation",-0.0566514451664035,0,"variance","stock"
"107","L2",36,"stock.autocorrelation",-0.20736176777398,0,"variance","stock"
"108","fixed",36,"stock.autocorrelation",0.0163633450947727,0,"variance","stock"
"109","L1",37,"stock.autocorrelation",-0.133994228594922,0,"variance","stock"
"110","L2",37,"stock.autocorrelation",-0.123695217731248,0,"variance","stock"
"111","fixed",37,"stock.autocorrelation",-0.0758063177838352,0,"variance","stock"
"112","L1",38,"stock.autocorrelation",-0.497195396653713,0,"variance","stock"
"113","L2",38,"stock.autocorrelation",-0.112058567979883,0,"variance","stock"
"114","fixed",38,"stock.autocorrelation",0.0477904361477685,0,"variance","stock"
