"","time","penalty_fn","replicate","variable","value","baseline"
"1292",12,"L1","rep_15","harvest",0.662244897959184,"penalty"
"1293",13,"L1","rep_15","harvest",0.662244897959184,"penalty"
"1294",14,"L1","rep_15","harvest",0.662244897959184,"penalty"
"1295",15,"L1","rep_15","harvest",0.662244897959184,"penalty"
"1296",16,"L1","rep_15","harvest",1.96673469387755,"penalty"
"1297",17,"L1","rep_15","harvest",1.96673469387755,"penalty"
"1298",18,"L1","rep_15","harvest",1.47755102040816,"penalty"
"1299",19,"L1","rep_15","harvest",5.88020408163265,"penalty"
"1300",20,"L1","rep_15","harvest",0,"penalty"
"1301",1,"L1","rep_16","harvest",6.53244897959184,"penalty"
"1302",2,"L1","rep_16","harvest",0.01,"penalty"
"1303",3,"L1","rep_16","harvest",0.01,"penalty"
"1304",4,"L1","rep_16","harvest",3.43428571428571,"penalty"
"1305",5,"L1","rep_16","harvest",0.01,"penalty"
"1306",6,"L1","rep_16","harvest",0.01,"penalty"
"1307",7,"L1","rep_16","harvest",0.01,"penalty"
"1308",8,"L1","rep_16","harvest",0.01,"penalty"
"1309",9,"L1","rep_16","harvest",0.173061224489796,"penalty"
"1310",10,"L1","rep_16","harvest",5.22795918367347,"penalty"
"1311",11,"L1","rep_16","harvest",0.01,"penalty"
"1312",12,"L1","rep_16","harvest",6.36938775510204,"penalty"
"1313",13,"L1","rep_16","harvest",0.01,"penalty"
"1314",14,"L1","rep_16","harvest",0.01,"penalty"
"1315",15,"L1","rep_16","harvest",3.10816326530612,"penalty"
"1316",16,"L1","rep_16","harvest",1.80367346938776,"penalty"
"1317",17,"L1","rep_16","harvest",0.01,"penalty"
"1318",18,"L1","rep_16","harvest",0.01,"penalty"
"1319",19,"L1","rep_16","harvest",7.8369387755102,"penalty"
"1320",20,"L1","rep_16","harvest",0,"penalty"
"1321",1,"L1","rep_17","harvest",6.53244897959184,"penalty"
"1322",2,"L1","rep_17","harvest",0.01,"penalty"
"1323",3,"L1","rep_17","harvest",0.01,"penalty"
"1324",4,"L1","rep_17","harvest",0.01,"penalty"
"1325",5,"L1","rep_17","harvest",0.01,"penalty"
"1326",6,"L1","rep_17","harvest",0.173061224489796,"penalty"
"1327",7,"L1","rep_17","harvest",0.82530612244898,"penalty"
"1328",8,"L1","rep_17","harvest",3.10816326530612,"penalty"
"1329",9,"L1","rep_17","harvest",3.10816326530612,"penalty"
"1330",10,"L1","rep_17","harvest",3.10816326530612,"penalty"
"1331",11,"L1","rep_17","harvest",0.336122448979592,"penalty"
"1332",12,"L1","rep_17","harvest",3.27122448979592,"penalty"
"1333",13,"L1","rep_17","harvest",2.12979591836735,"penalty"
"1334",14,"L1","rep_17","harvest",2.12979591836735,"penalty"
"1335",15,"L1","rep_17","harvest",2.12979591836735,"penalty"
"1336",16,"L1","rep_17","harvest",2.12979591836735,"penalty"
"1337",17,"L1","rep_17","harvest",2.12979591836735,"penalty"
"1338",18,"L1","rep_17","harvest",2.12979591836735,"penalty"
"1339",19,"L1","rep_17","harvest",6.04326530612245,"penalty"
"1340",20,"L1","rep_17","harvest",0,"penalty"
"1341",1,"L1","rep_18","harvest",6.53244897959184,"penalty"
"1342",2,"L1","rep_18","harvest",0.01,"penalty"
"1343",3,"L1","rep_18","harvest",5.06489795918367,"penalty"
"1344",4,"L1","rep_18","harvest",0.01,"penalty"
"1345",5,"L1","rep_18","harvest",0.01,"penalty"
"1346",6,"L1","rep_18","harvest",0.01,"penalty"
"1347",7,"L1","rep_18","harvest",0.01,"penalty"
"1348",8,"L1","rep_18","harvest",0.01,"penalty"
"1349",9,"L1","rep_18","harvest",7.18469387755102,"penalty"
