"","c2","variable","value"
"1",0,"L2",380.488853136573
"2",0.404040404040404,"L2",331.707109339886
"3",0.808080808080808,"L2",308.377353190019
"4",1.21212121212121,"L2",294.84104686493
"5",1.61616161616162,"L2",285.110833942174
"6",2.02020202020202,"L2",277.467613271773
"7",2.42424242424242,"L2",271.147125338439
"8",2.82828282828283,"L2",265.797501295082
"9",3.23232323232323,"L2",261.138267902995
"10",3.63636363636364,"L2",256.93483752522
"11",4.04040404040404,"L2",253.417199348379
"12",4.44444444444444,"L2",250.504745391554
"13",4.84848484848485,"L2",247.915181782723
"14",5.25252525252525,"L2",245.560190875478
"15",5.65656565656566,"L2",243.36603009565
"16",6.06060606060606,"L2",241.364459253231
"17",6.46464646464646,"L2",239.504794853803
"18",6.86868686868687,"L2",237.77028953721
"19",7.27272727272727,"L2",236.112294522154
"20",7.67676767676768,"L2",234.577460613328
"21",8.08080808080808,"L2",233.124652225965
"22",8.48484848484848,"L2",231.758486039228
"23",8.88888888888889,"L2",230.45244496573
"24",9.29292929292929,"L2",229.178789573181
"25",9.6969696969697,"L2",227.939621651459
"26",10.1010101010101,"L2",226.745142731658
"27",10.5050505050505,"L2",225.602372378409
"28",10.9090909090909,"L2",224.488827780887
"29",11.3131313131313,"L2",223.433226201432
"30",11.7171717171717,"L2",222.405015919237
"31",12.1212121212121,"L2",221.404356692817
"32",12.5252525252525,"L2",220.451074225064
"33",12.9292929292929,"L2",219.531037493506
"34",13.3333333333333,"L2",218.636054459093
"35",13.7373737373737,"L2",217.776137203483
"36",14.1414141414141,"L2",216.933339624941
"37",14.5454545454545,"L2",216.107221537189
"38",14.9494949494949,"L2",215.294503606694
"39",15.3535353535354,"L2",214.491551396947
"40",15.7575757575758,"L2",213.692355326213
"41",16.1616161616162,"L2",212.896471554822
"42",16.5656565656566,"L2",212.105315866468
"43",16.969696969697,"L2",211.317120155861
"44",17.3737373737374,"L2",210.543898119689
"45",17.7777777777778,"L2",210.034707115267
"46",18.1818181818182,"L2",209.59677618069
"47",18.5858585858586,"L2",209.162528595886
"48",18.989898989899,"L2",208.731296563837
"49",19.3939393939394,"L2",208.30301184927
"50",19.7979797979798,"L2",207.877791285703
"51",20.2020202020202,"L2",207.459390598143
"52",20.6060606060606,"L2",207.056336665469
"53",21.010101010101,"L2",206.659016810457
"54",21.4141414141414,"L2",206.264805213522
"55",21.8181818181818,"L2",205.875614620629
"56",22.2222222222222,"L2",205.493184479656
"57",22.6262626262626,"L2",205.115598177972
"58",23.030303030303,"L2",204.746933896729
"59",23.4343434343434,"L2",204.380903229249
"60",23.8383838383838,"L2",204.016924362533
"61",24.2424242424242,"L2",203.654955542684
"62",24.6464646464646,"L2",203.294670510269
"63",25.050505050505,"L2",202.946040585419
"64",25.4545454545455,"L2",202.600947222305
"65",25.8585858585859,"L2",202.258423105333
"66",26.2626262626263,"L2",201.918940052879
"67",26.6666666666667,"L2",201.580992379253
"68",27.0707070707071,"L2",201.254424694065
"69",27.4747474747475,"L2",200.9311187858
"70",27.8787878787879,"L2",200.610531768424
"71",28.2828282828283,"L2",200.291837674831
"72",28.6868686868687,"L2",199.978449120347
"73",29.0909090909091,"L2",199.673753167944
"74",29.4949494949495,"L2",199.372119510567
"75",29.8989898989899,"L2",199.072977862365
"76",30.3030303030303,"L2",198.778666138036
"77",30.7070707070707,"L2",198.494841712884
"78",31.1111111111111,"L2",198.213877638745
"79",31.5151515151515,"L2",197.935792916272
"80",31.9191919191919,"L2",197.662259401087
"81",32.3232323232323,"L2",197.397671123996
"82",32.7272727272727,"L2",197.139111591163
"83",33.1313131313131,"L2",196.882697871615
"84",33.5353535353535,"L2",196.633348110895
"85",33.9393939393939,"L2",196.389224831739
"86",34.3434343434343,"L2",196.147148744469
"87",34.7474747474747,"L2",195.910254485848
"88",35.1515151515151,"L2",195.679711474745
"89",35.5555555555556,"L2",195.451196771065
"90",35.959595959596,"L2",195.228152445607
"91",36.3636363636364,"L2",195.010659730985
"92",36.7676767676768,"L2",194.795234758916
"93",37.1717171717172,"L2",194.595614870102
"94",37.5757575757576,"L2",194.401428894122
"95",37.979797979798,"L2",194.211732554407
"96",38.3838383838384,"L2",194.028877988182
"97",38.7878787878788,"L2",193.848893647532
"98",39.1919191919192,"L2",193.67519257386
"99",39.5959595959596,"L2",193.503913718193
"100",40,"L2",193.338734342252
"101",0,"L1",380.488853136573
"102",0.404040404040404,"L1",357.072843718648
"103",0.808080808080808,"L1",334.460569004217
"104",1.21212121212121,"L1",316.980537859985
"105",1.61616161616162,"L1",302.582982272238
"106",2.02020202020202,"L1",290.053322509225
"107",2.42424242424242,"L1",278.8378698926
"108",2.82828282828283,"L1",268.578652288756
"109",3.23232323232323,"L1",259.216636614392
"110",3.63636363636364,"L1",250.736469974782
"111",4.04040404040404,"L1",242.986165350028
"112",4.44444444444444,"L1",235.964562762634
"113",4.84848484848485,"L1",229.731526309658
"114",5.25252525252525,"L1",224.307645957716
"115",5.65656565656566,"L1",219.762088922185
"116",6.06060606060606,"L1",216.08968296617
"117",6.46464646464646,"L1",213.261882080798
"118",6.86868686868687,"L1",211.174768968587
"119",7.27272727272727,"L1",209.481300434222
"120",7.67676767676768,"L1",207.954554737494
"121",8.08080808080808,"L1",206.470742435962
"122",8.48484848484848,"L1",205.007064782332
"123",8.88888888888889,"L1",203.55186511677
"124",9.29292929292929,"L1",202.104015230794
"125",9.6969696969697,"L1",200.665153516861
"126",10.1010101010101,"L1",199.241521735876
"127",10.5050505050505,"L1",197.841079495827
"128",10.9090909090909,"L1",196.491227790015
"129",11.3131313131313,"L1",196.006832741701
"130",11.7171717171717,"L1",195.526776226485
"131",12.1212121212121,"L1",195.052336386838
"132",12.5252525252525,"L1",194.592473769216
"133",12.9292929292929,"L1",194.144566512648
"134",13.3333333333333,"L1",193.701209247802
"135",13.7373737373737,"L1",193.259242483565
"136",14.1414141414141,"L1",192.819733257065
"137",14.5454545454545,"L1",192.382337969029
"138",14.9494949494949,"L1",191.947706760924
"139",15.3535353535354,"L1",191.516334807707
"140",15.7575757575758,"L1",191.090882622562
"141",16.1616161616162,"L1",190.675755124228
"142",16.5656565656566,"L1",190.263779160941
"143",16.969696969697,"L1",189.852407764647
"144",17.3737373737374,"L1",189.443386887482
"145",17.7777777777778,"L1",189.036620554587
"146",18.1818181818182,"L1",188.63122024653
"147",18.5858585858586,"L1",188.227725001188
"148",18.989898989899,"L1",187.826218555982
"149",19.3939393939394,"L1",187.427670192745
"150",19.7979797979798,"L1",187.03201338038
"151",20.2020202020202,"L1",186.639031168725
"152",20.6060606060606,"L1",186.251051250404
"153",21.010101010101,"L1",185.8680033254
"154",21.4141414141414,"L1",185.488023298645
"155",21.8181818181818,"L1",185.11247457922
"156",22.2222222222222,"L1",184.738791676656
"157",22.6262626262626,"L1",184.365379130784
"158",23.030303030303,"L1",183.993153478333
"159",23.4343434343434,"L1",183.62190797917
"160",23.8383838383838,"L1",183.251704796332
"161",24.2424242424242,"L1",182.883718313157
"162",24.6464646464646,"L1",182.516767235838
"163",25.050505050505,"L1",182.15115515055
"164",25.4545454545455,"L1",181.786233064112
"165",25.8585858585859,"L1",181.422133126296
"166",26.2626262626263,"L1",181.059426298605
"167",26.6666666666667,"L1",180.698737206795
"168",27.0707070707071,"L1",180.340727512402
"169",27.4747474747475,"L1",179.984200469457
"170",27.8787878787879,"L1",179.629000807421
"171",28.2828282828283,"L1",179.275462509635
"172",28.6868686868687,"L1",178.923697399784
"173",29.0909090909091,"L1",178.574522000057
"174",29.4949494949495,"L1",178.225818755102
"175",29.8989898989899,"L1",177.877943017999
"176",30.3030303030303,"L1",177.531352924804
"177",30.7070707070707,"L1",177.185265750916
"178",31.1111111111111,"L1",176.839568668454
"179",31.5151515151515,"L1",176.494666646282
"180",31.9191919191919,"L1",176.150531486881
"181",32.3232323232323,"L1",175.806800994981
"182",32.7272727272727,"L1",175.463569790533
"183",33.1313131313131,"L1",175.120782247952
"184",33.5353535353535,"L1",174.778824317753
"185",33.9393939393939,"L1",174.438059280178
"186",34.3434343434343,"L1",174.097810536229
"187",34.7474747474747,"L1",173.758444207972
"188",35.1515151515151,"L1",173.419802093834
"189",35.5555555555556,"L1",173.082442209207
"190",35.959595959596,"L1",172.879964538717
"191",36.3636363636364,"L1",172.831993984767
"192",36.7676767676768,"L1",172.784625470286
"193",37.1717171717172,"L1",172.737418999736
"194",37.5757575757576,"L1",172.690290513542
"195",37.979797979798,"L1",172.64329212665
"196",38.3838383838384,"L1",172.596344072207
"197",38.7878787878788,"L1",172.549415582995
"198",39.1919191919192,"L1",172.502536742982
"199",39.5959595959596,"L1",172.455730867195
"200",40,"L1",172.409179463
"201",0,"fixed",380.488853136573
"202",0.404040404040404,"fixed",374.494702392332
"203",0.808080808080808,"fixed",369.429418447457
"204",1.21212121212121,"fixed",364.804999004007
"205",1.61616161616162,"fixed",360.405143846127
"206",2.02020202020202,"fixed",356.070618591722
"207",2.42424242424242,"fixed",351.956383369559
"208",2.82828282828283,"fixed",347.988894207268
"209",3.23232323232323,"fixed",344.095543312885
"210",3.63636363636364,"fixed",340.250617625906
"211",4.04040404040404,"fixed",336.444454611113
"212",4.44444444444444,"fixed",332.783273402372
"213",4.84848484848485,"fixed",329.217787527285
"214",5.25252525252525,"fixed",325.702695630586
"215",5.65656565656566,"fixed",322.21355896612
"216",6.06060606060606,"fixed",318.744831227554
"217",6.46464646464646,"fixed",315.322396979306
"218",6.86868686868687,"fixed",311.91746225811
"219",7.27272727272727,"fixed",308.610504938716
"220",7.67676767676768,"fixed",305.378909204793
"221",8.08080808080808,"fixed",302.177901012267
"222",8.48484848484848,"fixed",298.994260207969
"223",8.88888888888889,"fixed",295.822793508485
"224",9.29292929292929,"fixed",292.672317579534
"225",9.6969696969697,"fixed",289.551998073874
"226",10.1010101010101,"fixed",286.449116040949
"227",10.5050505050505,"fixed",283.354896784823
"228",10.9090909090909,"fixed",280.315279158945
"229",11.3131313131313,"fixed",277.353030370698
"230",11.7171717171717,"fixed",274.417279895306
"231",12.1212121212121,"fixed",271.494457769773
"232",12.5252525252525,"fixed",268.580705841899
"233",12.9292929292929,"fixed",265.675858991293
"234",13.3333333333333,"fixed",262.785170373849
"235",13.7373737373737,"fixed",259.912638087122
"236",14.1414141414141,"fixed",257.064214427876
"237",14.5454545454545,"fixed",254.225521445949
"238",14.9494949494949,"fixed",251.400037038344
"239",15.3535353535354,"fixed",248.585243048756
"240",15.7575757575758,"fixed",245.794786088765
"241",16.1616161616162,"fixed",243.072913771773
"242",16.5656565656566,"fixed",240.366682590423
"243",16.969696969697,"fixed",237.671415709911
"244",17.3737373737374,"fixed",234.986321713095
"245",17.7777777777778,"fixed",232.304545757184
"246",18.1818181818182,"fixed",229.994130651229
"247",18.5858585858586,"fixed",227.972676477753
"248",18.989898989899,"fixed",226.08414154437
"249",19.3939393939394,"fixed",224.288969389882
"250",19.7979797979798,"fixed",222.49982157099
"251",20.2020202020202,"fixed",220.711548718267
"252",20.6060606060606,"fixed",218.925967764325
"253",21.010101010101,"fixed",217.14205344925
"254",21.4141414141414,"fixed",215.361302845212
"255",21.8181818181818,"fixed",213.593948661365
"256",22.2222222222222,"fixed",211.842996628693
